season,season_title,first_name,last_name,age,birthdate,gender,race,orientation,profession,hometown,homestate,finish
5,Survivor: Thailand,Clay,Jordan,46,1955-12-30,M,White,Straight,Restaurant Owner,Monroe,Louisiana,2
5,Survivor: Thailand,Brian,Heidik,34,1968-03-09,M,White,Straight,Used Car Salesman,Quartz Hill,California,1
6,Survivor: The Amazon,Ryan,Aiken,23,1979-02-13,M,White,Straight,Model,Ellicott City,Maryland,16
6,Survivor: The Amazon,Janet,Koth,47,1955-11-18,F,White,Straight,Homemaker,Manchester,Missouri,15
6,Survivor: The Amazon,Daniel,Lue,27,1975-11-29,M,Asian American,Straight,Tax Accountant,Houston,Texas,14
6,Survivor: The Amazon,JoAnna,Ward,31,1971-04-29,F,African American,Straight,Guidance Counselor,Orangeburg,South Carolina,13
6,Survivor: The Amazon,Jeanne,Hebert,41,1962-01-06,F,White,Straight,Marketing Director,North Attleborough,Massachusetts,12
6,Survivor: The Amazon,Shawna,Mitchell,23,1979-07-28,F,White,Straight,Retail Saleswoman,Redwood City,California,11
6,Survivor: The Amazon,Roger,Sexton,56,1946-09-26,M,White,Straight,Construction Company Vice President,Valencia,California,10
6,Survivor: The Amazon,Dave,Johnson,24,1979-01-16,M,White,Straight,Rocket Scientist,Pasadena,California,9
6,Survivor: The Amazon,Deena,Bennett,35,1967-02-12,F,Latin American,Straight,Deputy District Attorney,Riverside,California,8
6,Survivor: The Amazon,Alex,Bell,32,1970-05-16,M,White,Straight,Triathlon Coach,Los Angeles,California,7
6,Survivor: The Amazon,Christy,Smith,24,1978-09-13,F,White,Straight,Children's Adventure Guide,Basalt,Colorado,6
6,Survivor: The Amazon,Heidi,Strobel,24,1978-10-29,F,White,Straight,Gym Teacher,Jefferson City,Missouri,5
6,Survivor: The Amazon,Butch,Lockley,50,1952-08-28,M,White,Straight,School Principal,Olney,Illinois,4
6,Survivor: The Amazon,Rob,Cesternino,24,1978-10-20,M,White,Straight,Computer Projects Coordinator,Wantagh,New York,3
6,Survivor: The Amazon,Matthew,von,33,1969-07-24,M,White,Straight,Restaurant Designer,Washington DC,District of Columbia,2
6,Survivor: The Amazon,Jenna,Morasca,21,1981-02-15,F,White,Straight,Swimsuit Model,Pittsburgh,Pennsylvania,1
7,Survivor: Pearl Islands,Nicole,Delma,24,1978-09-19,F,White,Straight,Massage Therapist,Hermosa Beach,California,16
7,Survivor: Pearl Islands,Ryan,Shoulders,23,1980-03-28,M,White,Straight,Produce Clerk,Clarksville,Tennessee,15
7,Survivor: Pearl Islands,Michelle,Tesauro,22,1981-01-16,F,White,Straight,Student,Pittstown,New Jersey,14
7,Survivor: Pearl Islands,Trish,Dunn,42,1960-10-29,F,White,Straight,Sales Executive,Annapolis,Maryland,13
7,Survivor: Pearl Islands,Shawn,Cohen,28,1974-09-20,M,White,Straight,Advertising Salesman,New York,New York,12
7,Survivor: Pearl Islands,Osten,Taylor,27,1975-12-10,M,African American,Straight,Equity Trade Manager,Boston,Massachusetts,11
7,Survivor: Pearl Islands,Andrew,Savage,40,1963-07-29,M,White,Straight,Attorney,Chicago,Illinois,10
7,Survivor: Pearl Islands,Ryan,Opray,31,1972-08-06,M,White,Straight,Electrician,Los Gatos,California,9
7,Survivor: Pearl Islands,Rupert,Boneham,39,1964-01-27,M,White,Straight,Troubled Teens Mentor,Indianapolis,Indiana,8
7,Survivor: Pearl Islands,Tijuana,Bradley,27,1976-07-23,F,African American,Straight,Pharmaceutical Saleswoman,St. Louis,Missouri,7
7,Survivor: Pearl Islands,Christa,Hastie,24,1978-11-06,F,White,Straight,Computer Programmer,Los Angeles,California,6
7,Survivor: Pearl Islands,Burton,Roberts,31,1972-04-10,M,White,Straight,Marketing Executive,San Francisco,California,5
7,Survivor: Pearl Islands,Darrah,Johnson,22,1981-05-19,F,White,Straight,Mortician,Liberty,Mississippi,4
7,Survivor: Pearl Islands,Jon,Dalton,29,1974-03-11,M,White,Straight,Art Consultant,Danville,Virginia,3
7,Survivor: Pearl Islands,Lillian,Morris,51,1952-04-03,F,White,Straight,Scoutmaster,Cincinnati,Ohio,2
7,Survivor: Pearl Islands,Sandra,Diaz-Twine,29,1974-07-30,F,Latin American,Straight,Office Assistant,Fort Lewis,Washington,1
8,Survivor: All-Stars,Tina,Wesson,42,1960-12-26,F,White,Straight,Motivational Speaker,Knoxville,Tennessee,18
8,Survivor: All-Stars,Rudy,Boesch,75,1928-01-20,M,White,Straight,Retired Navy Seal,Virginia Beach,Virginia,17
8,Survivor: All-Stars,Jenna,Morasca,22,1981-02-15,F,White,Straight,Swimsuit Model,Pittsburgh,Pennsylvania,16
8,Survivor: All-Stars,Rob,Cesternino,25,1978-10-20,M,White,Straight,Computer Projects Coordinator,Wantagh,New York,15
8,Survivor: All-Stars,Richard,Hatch,42,1961-04-08,M,White,LGBT,Corporate Trainer,Newport,Rhode Island,14
8,Survivor: All-Stars,Susan,Hawk,42,1961-08-17,F,White,Straight,Waitress/Bartender,Palmyra,Wisconsin,13
8,Survivor: All-Stars,Colby,Donaldson,29,1974-04-01,M,White,Straight,Actor,Dallas,Texas,12
8,Survivor: All-Stars,Ethan,Zohn,30,1973-11-12,M,White,Straight,Motivational Speaker,Lexington,Massachusetts,11
8,Survivor: All-Stars,Jerri,Manthey,33,1970-09-05,F,White,Straight,Actress,Los Angeles,California,10
8,Survivor: All-Stars,Lex,van,40,1963-06-18,M,White,Straight,Freelance Writer,Santa Cruz,California,9
8,Survivor: All-Stars,Kathy,Vavrick-O'Brien,49,1955-01-06,F,White,Straight,Real Estate Agent,Burlington,Vermont,8
8,Survivor: All-Stars,Alicia,Calaway,35,1968-05-01,F,African American,Straight,Health and Fitness Reporter,New York,New York,7
8,Survivor: All-Stars,Shii,Ann,30,1974-01-24,F,Asian American,Straight,Executive Recruiter,New York,New York,6
8,Survivor: All-Stars,Tom,Buchanan,48,1955-10-30,M,White,Straight,Goat Farmer,Rich Valley,Virginia,5
8,Survivor: All-Stars,Rupert,Boneham,40,1964-01-27,M,White,Straight,Troubled Teens Mentor,Indianapolis,Indiana,4
8,Survivor: All-Stars,Jenna,Lewis,26,1977-07-16,F,White,Straight,Actress,Franklin,New Hampshire,3
8,Survivor: All-Stars,Rob,Mariano,28,1975-12-25,M,White,Straight,Construction Worker,Canton,Massachusetts,2
8,Survivor: All-Stars,Amber,Mariano,25,1978-08-11,F,White,Straight,Administrative Assistant,Beaver,Pennsylvania,1
9,Survivor: Vanuatu,Brook,Geraghty,33,1976-11-20,M,White,Straight,Document Manager,Huntington Beach,California,18
9,Survivor: Vanuatu,Dolly,Neely,25,1978-11-18,F,White,Straight,Sheep Farmer,Mercer,Pennsylvania,17
9,Survivor: Vanuatu,John,Palyok,31,1973-05-13,M,White,Straight,Sales Manager,Los Angeles,California,16
9,Survivor: Vanuatu,Mia,Galeotalanza,30,1974-08-17,F,White,Straight,Bookkeeper,Toms River,New Jersey,15
9,Survivor: Vanuatu,Brady,Finta,33,1970-12-17,M,White,Straight,FBI Agent,Huntington Beach,California,14
9,Survivor: Vanuatu,Travis,Sampson,33,1971-02-19,M,White,Straight,Security Officer,Blountville,Tennessee,13
9,Survivor: Vanuatu,Lisa,Keiffer,44,1960-05-03,F,White,Straight,Real State Agent,New Orleans,Louisiana,12
9,Survivor: Vanuatu,John,Kenney,22,1981-09-26,M,White,Straight,Mechanical Bull Operator/Model,Los Angeles,California,11
9,Survivor: Vanuatu,Rory,Freeman,35,1968-10-30,M,African American,Straight,Housing Case Manager,Des Moines,Iowa,10
9,Survivor: Vanuatu,Lea,Masters,40,1964-03-28,M,White,Straight,Drill Sergeant,Columbia,South Carolina,9
9,Survivor: Vanuatu,Chad,Crittenden,35,1969-08-08,M,White,Straight,Teacher,Oakland,California,8
9,Survivor: Vanuatu,Leann,Slaby,35,1969-07-08,F,White,Straight,Equity Research Assistant,Kansasville,Wisconsin,7
9,Survivor: Vanuatu,Ami,Cusack,31,1973-01-25,F,White,LGBT,Coffee Barista,Lakewood,Colorado,6
9,Survivor: Vanuatu,Julie,Berry,23,1980-12-15,F,White,Straight,Youth Mentor,Gorham,Maine,5
9,Survivor: Vanuatu,Eliza,Orlins,21,1982-12-25,F,White,Straight,Pre-Law Student,Syracuse,New York,4
9,Survivor: Vanuatu,Scout,Cloud,59,1944-11-08,F,White,LGBT,Rancher,Stillwater,Oklahoma,3
9,Survivor: Vanuatu,Twila,Tanner,41,1962-10-12,F,White,Straight,Highway Repair Worker,Marshall,Missouri,2
9,Survivor: Vanuatu,Chris,Daugherty,33,1970-08-29,M,White,Straight,Highway Construction Worker,South Vienna,Ohio,1
10,Survivor: Palau,Jonathan,Libby,23,1981-09-05,M,White,Straight,Sales & Marketing Associate,Dallas,Texas,20
10,Survivor: Palau,Wanda,Shirk,55,1949-08-24,F,White,Straight,English Teacher,Ulysses,Pennsylvania,19
10,Survivor: Palau,Jolanda,Jones,39,1965-11-06,F,African American,LGBT,Attorney,Houston,Texas,18
10,Survivor: Palau,Ashlee,Ashby,22,1982-05-02,F,White,Straight,Student,Easley,South Carolina,17
10,Survivor: Palau,Jeff,Wilson,21,1983-02-09,M,White,Straight,Personal Trainer,Ventura,California,16
10,Survivor: Palau,Kim,Mullen,25,1979-03-13,F,White,Straight,Graduate Student,Huber Heights,Ohio,15
10,Survivor: Palau,Willard,Smith,57,1947-11-30,M,White,Straight,Attorney,Bellevue,Washington,14
10,Survivor: Palau,Angie,Jakusz,24,1980-03-27,F,White,Straight,Bartender,New Orleans,Louisiana,13
10,Survivor: Palau,James,Miller,33,1971-07-08,M,White,Straight,Steelworker,Mobile,Alabama,12
10,Survivor: Palau,Ibrehem,Rahman,27,1977-03-04,M,African American,Straight,Model,Birmingham,Alabama,11
10,Survivor: Palau,Bobby,Jon,27,1977-05-10,M,White,Straight,Waiter,Troy,Alabama,10
10,Survivor: Palau,Coby,Archa,32,1972-09-08,M,White,LGBT,Hairdresser,Dallas,Texas,9
10,Survivor: Palau,Janu,Tornell,39,1965-05-09,F,Latin American,Straight,Vegas Showgirl,Las Vegas,Nevada,8
10,Survivor: Palau,Stephenie,LaGrossa,25,1979-12-06,F,White,Straight,Pharmaceutical Sales Representative,Glenolden,Pennsylvania,7
10,Survivor: Palau,Gregg,Carey,27,1977-01-09,M,White,Straight,Business Consultant,Chicago,Illinois,6
10,Survivor: Palau,Caryn,Groedel,46,1958-08-13,F,White,Straight,Civil Rights Attorney,Solon,Ohio,5
10,Survivor: Palau,Jennifer,Lyon,32,1972-02-27,F,White,Straight,Nanny,Encino,California,4
10,Survivor: Palau,Ian,Rosenberger,23,1981-08-24,M,White,Straight,Dolphin Trainer,Key Largo,Florida,3
10,Survivor: Palau,Katie,Gallagher,29,1975-05-28,F,White,Straight,Advertising Executive,Merced,California,2
10,Survivor: Palau,Tom,Westman,41,1964-01-04,M,White,Straight,Firefighter,Sayville,New York,1
11,Survivor: Guatemala,Jim,Lynch,63,1942-01-07,M,White,Straight,Retired Fire Captain,Northglenn,Colorado,18
11,Survivor: Guatemala,Morgan,McDevitt,21,1983-11-24,F,White,Straight,Magician's Assistant,Decatur,Illinois,17
11,Survivor: Guatemala,Brianna,Varela,21,1983-10-29,F,Latin American,Straight,Retail Salesperson,Edmonds,Washington,16
11,Survivor: Guatemala,Brooke,Struck,26,1979-07-30,F,White,Straight,Law Student,Hood River,Oregon,15
11,Survivor: Guatemala,Blake,Towsley,24,1981-05-05,M,White,Straight,Real Estate Broker,Dallas,Texas,14
11,Survivor: Guatemala,Margaret,Bobonich,43,1962-06-05,F,White,Straight,Nursing Practitioner,Chardon,Ohio,13
11,Survivor: Guatemala,Brian,Corridan,22,1983-02-10,M,White,LGBT,Ivy League Student,New York,New York,12
11,Survivor: Guatemala,Amy,O'Hara,39,1965-11-02,F,White,Straight,Police Sergeant,Revere,Massachusetts,11
11,Survivor: Guatemala,Brandon,Bellinger,22,1983-01-22,M,White,Straight,Farmer,Manhattan,Kansas,10
11,Survivor: Guatemala,Bobby,Jon,27,1977-05-10,M,White,Straight,Waiter,Troy,Alabama,9
11,Survivor: Guatemala,Jamie,Newton,24,1981-01-26,M,White,Straight,Water Skiing Instructor,North Hollywood,California,8
11,Survivor: Guatemala,Gary,Hogeboom,46,1958-08-21,M,White,Straight,Former NFL Quarterback,Grand Haven,Michigan,7
11,Survivor: Guatemala,Judd,Sergeant,34,1970-09-13,M,White,Straight,Hotel Doorman,Ridgefield,New Jersey,6
11,Survivor: Guatemala,Cindy,Hall,31,1974-06-28,F,White,Straight,Zookeeper,Naples,Florida,5
11,Survivor: Guatemala,Lydia,Morales,42,1963-01-19,F,Latin American,Straight,Fishmonnger,Lakewood,Washington,4
11,Survivor: Guatemala,Rafe,Judkins,22,1983-01-08,M,White,LGBT,Wilderness Guide,Providence,Rhode Island,3
11,Survivor: Guatemala,Stephenie,LaGrossa,25,1979-12-06,F,White,Straight,Pharmaceutical Sales Representative,Philadelphia,Pennsylvania,2
11,Survivor: Guatemala,Danni,Boatwright,30,1975-07-13,F,White,Straight,Sports Radio Host,Tonganoxie,Kansas,1
12,Survivor: Panama,Tina,Scheer,45,1960-11-17,F,White,Straight,Lumberjill,Hayward,Wisconsin,16
12,Survivor: Panama,Melinda,Hyder,32,1973-05-23,F,White,Straight,Singer/Entertainer,Sevierville,Tennessee,15
12,Survivor: Panama,Misty,Giles,24,1981-02-25,F,White,Straight,Missile Engineer,Dallas,Texas,14
12,Survivor: Panama,Ruth,Marie,48,1957-04-11,F,White,Straight,Property Developer,Greenville,South Carolina,13
12,Survivor: Panama,Bobby,Mason,32,1973-08-20,M,African American,Straight,Attorney,Los Angeles,California,12
12,Survivor: Panama,Dan,Barry,52,1953-12-30,M,White,Straight,Astronaut,South Hadley,Massachusetts,11
12,Survivor: Panama,Nick,Stanbury,25,1980-07-21,M,White,Straight,Financial Salesman,Tempe,Arizona,10
12,Survivor: Panama,Austin,Carty,24,1981-04-29,M,White,Straight,Writer,High Point,North Carolina,9
12,Survivor: Panama,Sally,Schumann,27,1978-12-10,F,White,Straight,Social Worker,Chicago,Illinois,8
12,Survivor: Panama,Bruce,Kanegai,58,1947-12-17,M,Asian American,Straight,Art Teacher,Simi Valley,California,7
12,Survivor: Panama,Courtney,Marit,31,1974-05-24,F,White,Straight,Fire Dancer,Los Angeles,California,6
12,Survivor: Panama,Shane,Powers,35,1970-11-28,M,White,Straight,Marketing Executive,Los Angeles,California,5
12,Survivor: Panama,Cirie,Fields,34,1970-07-18,F,African American,Straight,Nurse,Walterboro,South Carolina,4
12,Survivor: Panama,Terry,Deitz,46,1959-10-10,M,White,Straight,Pilot,Simsbury,Connecticut,3
12,Survivor: Panama,Danielle,DiLorenzo,24,1981-06-03,F,White,Straight,Medical Sales Representative,Pompano Beach,Florida,2
12,Survivor: Panama,Aras,Baskauskas,24,1981-09-26,M,White,Straight,Yoga Instructor,Santa Monica,California,1
13,Survivor: Cook Islands,Sekou,Bunch,46,1960-09-09,M,African American,Straight,Jazz Musician,Los Angeles,California,20
13,Survivor: Cook Islands,Billy,Garcia,36,1970-04-22,M,Latin American,Straight,Heavy Metal Musician,New York,New York,19
13,Survivor: Cook Islands,Cecilia,Mansilla,29,1977-01-13,F,Latin American,Straight,Risk Consultant,Oakland,California,18
13,Survivor: Cook Islands,J.P.,Calderon,30,1975-09-05,M,Latin American,LGBT,Profession Volleyball Player,Marina Del Rey,California,17
13,Survivor: Cook Islands,Stephannie,Favor,35,1970-07-12,F,African American,Straight,Nursing Student,Columbia,South Carolina,16
13,Survivor: Cook Islands,Cao,Boi,42,1964-04-10,M,Asian American,Straight,Nail Salon Manager,Christiansburg,Virginia,15
13,Survivor: Cook Islands,Cristina,Coria,35,1971-04-18,F,Latin American,Straight,Police Officer,Los Angeles,California,14
13,Survivor: Cook Islands,Jessica,Smith,27,1979-01-22,F,White,Straight,Roller Girl,Chico,California,13
13,Survivor: Cook Islands,Brad,Virata,27,1976-11-23,M,Asian American,LGBT,Fashion Director,Los Angeles,California,12
13,Survivor: Cook Islands,Rebecca,Borman,34,1971-08-31,F,African American,Straight,Makeup Artist,Laurelton,New York,11
13,Survivor: Cook Islands,Jenny,Guzon-Bae,36,1970-05-08,F,Asian American,Straight,Real Estate Agent,Lake Forest,Illinois,10
13,Survivor: Cook Islands,Nate,Gonzalez,26,1980-07-26,M,Latin American,Straight,Shoe Salesman,Los Angeles,California,9
13,Survivor: Cook Islands,Candice,Cody,23,1982-11-12,F,White,Straight,Pre-Med Student,Fayetteville,North Carolina,8
13,Survivor: Cook Islands,Jonathan,Penner,44,1962-03-05,M,White,Straight,Writer,Los Angeles,California,7
13,Survivor: Cook Islands,Parvati,Shallow,24,1982-09-21,F,White,Straight,Boxer,Los Angeles,California,6
13,Survivor: Cook Islands,Adam,Gentry,28,1978-08-21,M,White,Straight,Copier Sales Executive,San Diego,California,5
13,Survivor: Cook Islands,Sundra,Oakley,31,1975-01-02,F,African American,Straight,Actress,Los Angeles,California,4
13,Survivor: Cook Islands,Becky,Lee,28,1977-09-11,F,Asian American,Straight,Attorney,Washington DC,District of Columbia,3
13,Survivor: Cook Islands,Ozzy,Lusth,25,1981-08-23,M,Latin American,LGBT,Waiter,Venice,California,2
13,Survivor: Cook Islands,Yul,Kwon,31,1975-02-14,M,Asian American,Straight,Management Consultant,San Mateo,California,1
14,Survivor: Fiji,Jessica,deBen,27,1979-04-25,F,White,Straight,Fashion Stylist,Los Angeles,California,19
14,Survivor: Fiji,Erica,Durousseau,27,1979-12-11,F,African American,Straight,Non-Profit Fundraiser,Lake Charles,Louisiana,18
14,Survivor: Fiji,Sylvia,Kwan,52,1954-08-18,F,Asian American,Straight,Architect,Ross,California,17
14,Survivor: Fiji,Gary,Stritesky,55,1951-09-16,M,White,Straight,School Bus Driver,Ramsey,Minnesota,16
14,Survivor: Fiji,Liliana,Gomez,25,1981-04-05,F,Latin American,Straight,Loan Officer,Oxnard,California,15
14,Survivor: Fiji,Rita,Verreos,38,1968-07-19,F,Latin American,Straight,Single Mother,San Antonio,Texas,14
14,Survivor: Fiji,Anthony,Robinson,32,1974-06-25,M,African American,Straight,Expert Witness Locator,Compton,California,13
14,Survivor: Fiji,Rocky,Reid,28,1978-09-11,M,White,Straight,Bartender,Los Angeles,California,12
14,Survivor: Fiji,Lisi,Linares,36,1970-06-09,F,Latin American,Straight,Customer Service Representative,Los Angeles,California,11
14,Survivor: Fiji,Michelle,Yi,23,1983-12-02,F,Asian American,Straight,Student,Cincinnati,Ohio,10
